[2025-05-28 21:47:45] [INFO    ] discord.client: logging in using static token
[2025-05-28 21:47:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'shwannybot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1370597875129778289', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7049', 'clan': None, 'bot': True, 'avatar': '7f412cffae126c5d3b307c230268ee07'}, 'session_type': 'normal', 'session_id': '39e592a80a40b3db262d3c1aba04603e', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1370599926580379829'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['sydney', 'singapore', 'hongkong', 'japan', 'india'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1370597875129778289', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-b-hp7l",{"micros":179309,"calls":["id_created",{"micros":432,"calls":[]},"session_lookup_time",{"micros":6118,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-124",{"micros":171419,"calls":["start_session",{"micros":147278,"calls":["discord-api-rpc-d78b5c95c-shqnn",{"micros":105398,"calls":["get_user",{"micros":16101},"get_guilds",{"micros":42818},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":1555},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":2381},"apex_user_experiments",{"micros":5},"user_activities",{"micros":3}]}]},"starting_guild_connect",{"micros":27,"calls":[]},"presence_started",{"micros":5078,"calls":[]},"guilds_started",{"micros":61,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":18957,"calls":[]},"connect_finished",{"micros":18961,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-05-28 21:47:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-28 21:47:46] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 39e592a80a40b3db262d3c1aba04603e).
[2025-05-28 21:47:46] [DEBUG   ] discord.client: Dispatching event connect
[2025-05-28 21:47:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'members': [{'user': {'username': 'shwannybot', 'public_flags': 0, 'primary_guild': None, 'id': '1370597875129778289', 'global_name': None, 'display_name': None, 'discriminator': '7049', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '7f412cffae126c5d3b307c230268ee07'}, 'roles': ['1371288912923725865', '1370600114686787628'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:15:31.923000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'latest_onboarding_question_id': None, 'premium_features': None, 'verification_level': 0, 'profile': None, 'guild_scheduled_events': [], 'icon': None, 'premium_subscription_count': 0, 'banner': None, 'large': False, 'default_message_notifications': 0, 'max_video_channel_users': 25, 'id': '1370599926580379829', 'embedded_activities': [], 'name': "shwan.dev's test server", 'premium_progress_bar_enabled': False, 'safety_alerts_channel_id': None, 'channels': [{'version': 1746846887110, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1370599926580379830', 'flags': 0}, {'version': 1746846887172, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1370599927134031892', 'flags': 0}, {'version': 1747138372418, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1370599926580379829', 'deny': '2048', 'allow': '0'}], 'parent_id': '1370599926580379830', 'name': 'general', 'last_message_id': '1377251481660690593', 'id': '1370599927134031893', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1746846887195, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1370599927134031892', 'name': 'General', 'last_message_id': None, 'id': '1370599927134031894', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1746846892834, 'type': 0, 'topic': 'This is a good place to talk about software', 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1370599926580379830', 'name': 'software', 'last_message_id': None, 'id': '1370599950873919499', 'flags': 0}], 'emojis': [], 'mfa_level': 0, 'threads': [], 'max_members': 500000, 'system_channel_flags': 0, 'activity_instances': [], 'nsfw': False, 'features': [], 'joined_at': '2025-05-10T03:15:31.923000+00:00', 'description': None, 'discovery_splash': None, 'stage_instances': [], 'hub_type': None, 'inventory_settings': None, 'public_updates_channel_id': None, 'explicit_content_filter': 0, 'vanity_url_code': None, 'lazy': True, 'home_header': None, 'splash': None, 'rules_channel_id': None, 'soundboard_sounds': [], 'premium_tier': 0, 'application_id': None, 'presences': [], 'afk_timeout': 300, 'member_count': 3, 'incidents_data': None, 'nsfw_level': 0, 'region': 'deprecated', 'roles': [{'version': 1746846887105, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1370599926580379829', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1747011681406, 'unicode_emoji': None, 'tags': {'bot_id': '1370597875129778289'}, 'position': 4, 'permissions': '8', 'name': 'shwannybot', 'mentionable': False, 'managed': True, 'id': '1370600114686787628', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1747011606404, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '8', 'name': 'bot', 'mentionable': True, 'managed': False, 'id': '1371288912923725865', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3066993}, 'color': 3066993}, {'version': 1747011618804, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '1232417246924352', 'name': 'peasant', 'mentionable': False, 'managed': False, 'id': '1371289157795840141', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 5533306}, 'color': 5533306}, {'version': 1747011681401, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '8', 'name': 'king', 'mentionable': False, 'managed': False, 'id': '1371290772955201556', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15844367}, 'color': 15844367}], 'unavailable': False, 'voice_states': [], 'afk_channel_id': None, 'system_channel_id': '1370599927134031893', 'version': 1747011149604, 'application_command_counts': {}, 'max_stage_video_channel_users': 50, 'preferred_locale': 'en-US', 'owner_id': '1370597303798333564', 'stickers': [], 'moderator_reporting': None}}
[2025-05-28 21:47:47] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-28 21:47:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '56b48efc495c2dae3d347e7e07985b26', 'members': [{'user': {'username': 'whenthe', 'public_flags': 64, 'primary_guild': None, 'id': '308020718354956288', 'global_name': 'when the', 'display_name': 'when the', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1144305233707671573', 'expires_at': None, 'asset': 'a_c3c09bd122898be35093d0d59850f627'}, 'avatar': '64958d357defb16a553f46bf0c68f291'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-28T11:37:26.726673+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'shwan11.', 'public_flags': 0, 'primary_guild': None, 'id': '1370597303798333564', 'global_name': 'shwan.dev', 'display_name': 'shwan.dev', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1371290772955201556'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:14:47.052000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'shwannybot', 'public_flags': 0, 'primary_guild': None, 'id': '1370597875129778289', 'global_name': None, 'display_name': None, 'discriminator': '7049', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '7f412cffae126c5d3b307c230268ee07'}, 'roles': ['1371288912923725865', '1370600114686787628'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:15:31.923000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1370599926580379829', 'chunk_index': 0, 'chunk_count': 1}}
[2025-05-28 21:47:47] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-28 21:47:47] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1370599926580379829.
[2025-05-28 21:47:49] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-05-28 21:47:49] [DEBUG   ] discord.client: Dispatching event ready
[2025-05-28 21:48:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-28T11:48:00.820000+00:00', 'pinned': False, 'nonce': '1377252066539339776', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1371290772955201556'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:14:47.052000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1377252066753511545', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '$table', 'components': [], 'channel_type': 0, 'channel_id': '1370599927134031893', 'author': {'username': 'shwan11.', 'public_flags': 0, 'primary_guild': None, 'id': '1370597303798333564', 'global_name': 'shwan.dev', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1370599926580379829'}}
[2025-05-28 21:48:01] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-28 21:48:01] [DEBUG   ] discord.client: Dispatching event message
[2025-05-28 21:48:01] [DEBUG   ] discord.client: Dispatching event command
[2025-05-28 21:48:01] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-05-28 21:48:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 5, 'op': 0, 'd': {'user_id': '1370597303798333564', 'timestamp': 1748432907, 'member': {'user': {'username': 'shwan11.', 'public_flags': 0, 'primary_guild': None, 'id': '1370597303798333564', 'global_name': 'shwan.dev', 'display_name': 'shwan.dev', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1371290772955201556'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:14:47.052000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1370599927134031893', 'guild_id': '1370599926580379829'}}
[2025-05-28 21:48:27] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-28 21:48:27] [DEBUG   ] discord.client: Dispatching event typing
[2025-05-28 21:48:27] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-05-28 21:48:27] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-05-28 21:48:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-28 21:48:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-28T11:48:30.693000+00:00', 'pinned': False, 'nonce': '1377252191466684416', 'mentions': [{'username': 'shwan11.', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': ['1371290772955201556'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:14:47.052000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1370597303798333564', 'global_name': 'shwan.dev', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1371290772955201556'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:14:47.052000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1377252192049696788', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '$vc_time <@1370597303798333564>', 'components': [], 'channel_type': 0, 'channel_id': '1370599927134031893', 'author': {'username': 'shwan11.', 'public_flags': 0, 'primary_guild': None, 'id': '1370597303798333564', 'global_name': 'shwan.dev', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1370599926580379829'}}
[2025-05-28 21:48:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-28 21:48:30] [DEBUG   ] discord.client: Dispatching event message
[2025-05-28 21:48:30] [DEBUG   ] discord.client: Dispatching event command
[2025-05-28 21:48:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-28T11:48:30.993000+00:00', 'pinned': False, 'nonce': '13195658415982127797', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1371288912923725865', '1370600114686787628'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:15:31.923000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1377252193308119042', 'flags': 0, 'embeds': [{'type': 'rich', 'title': "shwan.dev's Total VC-Time", 'fields': [{'value': 'Has no VC-Time!', 'name': '', 'inline': False}], 'content_scan_version': 0, 'color': 10181046}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1370599927134031893', 'author': {'username': 'shwannybot', 'public_flags': 0, 'primary_guild': None, 'id': '1370597875129778289', 'global_name': None, 'discriminator': '7049', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '7f412cffae126c5d3b307c230268ee07'}, 'attachments': [], 'guild_id': '1370599926580379829'}}
[2025-05-28 21:48:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-28 21:48:31] [DEBUG   ] discord.client: Dispatching event message
[2025-05-28 21:48:31] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1370599927134031893/messages with {"embeds":[{"fields":[{"inline":false,"name":"","value":"Has no VC-Time!"}],"flags":0,"color":10181046,"type":"rich","title":"shwan.dev's Total VC-Time"}],"content":null,"components":[],"nonce":"13195658415982127797","enforce_nonce":true,"tts":false} has returned 200
[2025-05-28 21:48:31] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-05-28 21:48:31] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1370599927134031893/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': "shwan.dev's Total VC-Time", 'color': 10181046, 'fields': [{'name': '', 'value': 'Has no VC-Time!', 'inline': False}], 'content_scan_version': 0}], 'timestamp': '2025-05-28T11:48:30.993000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1377252193308119042', 'channel_id': '1370599927134031893', 'author': {'id': '1370597875129778289', 'username': 'shwannybot', 'avatar': '7f412cffae126c5d3b307c230268ee07', 'discriminator': '7049', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '13195658415982127797'}
[2025-05-28 21:48:31] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-05-28 21:48:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_STATE_UPDATE', 's': 8, 'op': 0, 'd': {'member': {'user': {'username': 'shwan11.', 'public_flags': 0, 'primary_guild': None, 'id': '1370597303798333564', 'global_name': 'shwan.dev', 'display_name': 'shwan.dev', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1371290772955201556'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:14:47.052000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'user_id': '1370597303798333564', 'suppress': False, 'session_id': 'd47900015baeedf9d8fdf9d9953921fc', 'self_video': False, 'self_mute': True, 'self_deaf': True, 'request_to_speak_timestamp': None, 'mute': False, 'guild_id': '1370599926580379829', 'discoverable': True, 'deaf': False, 'channel_id': '1370599927134031894'}}
[2025-05-28 21:48:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-28 21:48:32] [DEBUG   ] discord.client: Dispatching event voice_state_update
[2025-05-28 21:48:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-28T11:48:43.406000+00:00', 'pinned': False, 'nonce': '1377252245229273088', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1371290772955201556'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:14:47.052000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1377252245372010648', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '$table', 'components': [], 'channel_type': 0, 'channel_id': '1370599927134031893', 'author': {'username': 'shwan11.', 'public_flags': 0, 'primary_guild': None, 'id': '1370597303798333564', 'global_name': 'shwan.dev', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1370599926580379829'}}
[2025-05-28 21:48:43] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-28 21:48:43] [DEBUG   ] discord.client: Dispatching event message
[2025-05-28 21:48:43] [DEBUG   ] discord.client: Dispatching event command
[2025-05-28 21:48:43] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-05-28 21:48:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_STATE_UPDATE', 's': 10, 'op': 0, 'd': {'member': {'user': {'username': 'shwan11.', 'public_flags': 0, 'primary_guild': None, 'id': '1370597303798333564', 'global_name': 'shwan.dev', 'display_name': 'shwan.dev', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1371290772955201556'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:14:47.052000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'user_id': '1370597303798333564', 'suppress': False, 'session_id': 'd47900015baeedf9d8fdf9d9953921fc', 'self_video': False, 'self_mute': True, 'self_deaf': True, 'request_to_speak_timestamp': None, 'mute': False, 'guild_id': '1370599926580379829', 'discoverable': True, 'deaf': False, 'channel_id': None}}
[2025-05-28 21:48:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-28 21:48:53] [DEBUG   ] discord.client: Dispatching event voice_state_update
[2025-05-28 21:48:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_CHANNEL_STATUS_UPDATE', 's': 11, 'op': 0, 'd': {'status': None, 'id': '1370599927134031894', 'guild_id': '1370599926580379829'}}
[2025-05-28 21:48:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-28 21:48:53] [DEBUG   ] discord.gateway: Unknown event VOICE_CHANNEL_STATUS_UPDATE.
[2025-05-28 21:48:53] [ERROR   ] discord.client: Ignoring exception in on_voice_state_update
Traceback (most recent call last):
  File "C:\Users\New User\PycharmProjects\shwannybot\.venv\Lib\site-packages\discord\client.py", line 481, in _run_event
    await coro(*args, **kwargs)
  File "C:\Users\New User\PycharmProjects\shwannybot\main.py", line 146, in on_voice_state_update
    dur = list_1[1] - list_1[0]
          ~~~~~~^^^
IndexError: list index out of range
[2025-05-28 21:48:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 12, 'op': 0, 'd': {'user_id': '1370597303798333564', 'timestamp': 1748432936, 'member': {'user': {'username': 'shwan11.', 'public_flags': 0, 'primary_guild': None, 'id': '1370597303798333564', 'global_name': 'shwan.dev', 'display_name': 'shwan.dev', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1371290772955201556'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:14:47.052000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1370599927134031893', 'guild_id': '1370599926580379829'}}
[2025-05-28 21:48:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-28 21:48:57] [DEBUG   ] discord.client: Dispatching event typing
[2025-05-28 21:48:57] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-05-28 21:49:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 13, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-28T11:49:00.219000+00:00', 'pinned': False, 'nonce': '1377252315718746112', 'mentions': [{'username': 'shwan11.', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': ['1371290772955201556'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:14:47.052000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1370597303798333564', 'global_name': 'shwan.dev', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1371290772955201556'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T03:14:47.052000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1377252315890716762', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '$vc_time <@1370597303798333564>', 'components': [], 'channel_type': 0, 'channel_id': '1370599927134031893', 'author': {'username': 'shwan11.', 'public_flags': 0, 'primary_guild': None, 'id': '1370597303798333564', 'global_name': 'shwan.dev', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1370599926580379829'}}
[2025-05-28 21:49:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-28 21:49:00] [DEBUG   ] discord.client: Dispatching event message
[2025-05-28 21:49:00] [DEBUG   ] discord.client: Dispatching event command
